FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_ESTADUAIS.150,POINT (615961.06171796 7798383.98967728),ESCOLAS_ESTADUAIS.1030.Estadual.ESCOLA ESTADUAL NECESIO TAVARES,1030,ESCOLA ESTADUAL NECESIO TAVARES,Estadual,RUA,FERNAO DIAS,7,,Alto Vera Cruz,LESTE
ESCOLAS_ESTADUAIS.151,POINT (609210.9949217 7808540.41777589),ESCOLAS_ESTADUAIS.50.Estadual.ESCOLA ESTADUAL CESEC MARIA VIEIRA BARBOSA,50,ESCOLA ESTADUAL CESEC MARIA VIEIRA BARBOSA,Estadual,RUA,PADRE PEDRO PINTO,775,,Venda Nova,VENDA NOVA
ESCOLAS_ESTADUAIS.152,POINT (613406.02838288 7803941.83125584),ESCOLAS_ESTADUAIS.999.Estadual.ESCOLA ESTADUAL ADALBERTO FERRAZ,999,ESCOLA ESTADUAL ADALBERTO FERRAZ,Estadual,RUA,OPERARIO SILVA,50,,São Gabriel,NORDESTE
ESCOLAS_ESTADUAIS.153,POINT (604738.17737772 7809191.5593573),ESCOLAS_ESTADUAIS.940.Estadual.ESCOLA ESTADUAL MENINO JESUS DE PRAGA,940,ESCOLA ESTADUAL MENINO JESUS DE PRAGA,Estadual,RUA,JOSE SABINO MACIEL,290,,Lagoa,VENDA NOVA
ESCOLAS_ESTADUAIS.154,POINT (609384.33047802 7799614.85669593),ESCOLAS_ESTADUAIS.1016.Estadual.ESCOLA ESTADUAL TOMAS BRANDAO,1016,ESCOLA ESTADUAL TOMAS BRANDAO,Estadual,PCA,SENHOR BOM JESUS,134,,Bom Jesus,NOROESTE
ESCOLAS_ESTADUAIS.155,POINT (612956.73861911 7802395.37509742),ESCOLAS_ESTADUAIS.482.Estadual.ESCOLA ESTADUAL MENDES PIMENTEL,482,ESCOLA ESTADUAL MENDES PIMENTEL,Estadual,RUA,DORESOPOLIS,325,,Fernão Dias,NORDESTE
ESCOLAS_ESTADUAIS.156,POINT (604239.99916323 7788525.17541185),ESCOLAS_ESTADUAIS.160.Estadual.ESCOLA ESTADUAL DOUTOR AMARO NEVES BARRETO,160,ESCOLA ESTADUAL DOUTOR AMARO NEVES BARRETO,Estadual,AVE,XIMANGO,280,,Flávio Marques Lisboa,BARREIRO
ESCOLAS_ESTADUAIS.157,POINT (609810.25456437 7793923.46465891),ESCOLAS_ESTADUAIS.961.Estadual.ESCOLA ESTADUAL PROFESSOR JOSE MESQUITA DE CARVALHO,961,ESCOLA ESTADUAL PROFESSOR JOSE MESQUITA DE CARVALHO,Estadual,RUA,IRAI,260,,Coração de Jesus,CENTRO-SUL
ESCOLAS_ESTADUAIS.158,POINT (605986.769018 7802774.02105252),ESCOLAS_ESTADUAIS.449.Estadual.ESCOLA ESTADUAL SARAH KUBITSCHEK ITAMARATI,449,ESCOLA ESTADUAL SARAH KUBITSCHEK ITAMARATI,Estadual,RUA,ANITA BLUMBERG,61,,Ouro Preto,PAMPULHA
ESCOLAS_ESTADUAIS.159,POINT (611750.05197937 7804254.04690553),ESCOLAS_ESTADUAIS.121.Estadual.ESCOLA ESTADUAL DE EDUCACAO ESPECIAL DOUTOR JOAO MOREIRA SALLES,121,ESCOLA ESTADUAL DE EDUCACAO ESPECIAL DOUTOR JOAO MOREIRA SALLES,Estadual,RUA,SANTA CLARA DE ASSIS,159,,Minaslândia,NORTE
