FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.135,POINT (605803.25522764 7791744.87702885),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.235.Municipal.ESCOLA MUNICIPAL MESTRE ATAIDE,235,ESCOLA MUNICIPAL MESTRE ATAIDE,Municipal,RUA,AUGUSTO JOSE DOS SANTOS,560,,Estrela do Oriente,OESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.136,POINT (609819.41668027 7800407.11961171),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.506.Municipal.ESCOLA MUNICIPAL NOSSA SENHORA DO AMPARO,506,ESCOLA MUNICIPAL NOSSA SENHORA DO AMPARO,Municipal,RUA,HESPERIA,300,,Aparecida,NOROESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.137,POINT (607225.54151095 7808658.2347078),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.260.Municipal.ESCOLA MUNICIPAL GERALDO TEIXEIRA DA COSTA,260,ESCOLA MUNICIPAL GERALDO TEIXEIRA DA COSTA,Municipal,RUA,MARCIO LIMA PAIXAO,9,,Rio Branco,VENDA NOVA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.138,POINT (607822.20362052 7793219.23452264),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.212.Municipal.ESCOLA MUNICIPAL OSWALDO CRUZ,212,ESCOLA MUNICIPAL OSWALDO CRUZ,Municipal,RUA,SANTOS,2200,,Jardim América,OESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.139,POINT (611787.59500703 7800803.73072045),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.511.Municipal.ESCOLA MUNICIPAL GOVERNADOR CARLOS LACERDA,511,ESCOLA MUNICIPAL GOVERNADOR CARLOS LACERDA,Municipal,RUA,PRINCESA LEOPOLDINA,490,,Ipiranga,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.140,POINT (602563.6366238 7802926.13137315),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.76.Municipal.ESCOLA MUNICIPAL ANNE FRANK,76,ESCOLA MUNICIPAL ANNE FRANK,Municipal,RUA,CECILIA MAGALHAES GOMES,445,,Confisco,PAMPULHA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.141,POINT (613669.95850444 7802112.15112402),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.74.Municipal.ESCOLA MUNICIPAL HENRIQUETA LISBOA,74,ESCOLA MUNICIPAL HENRIQUETA LISBOA,Municipal,RUA,GEORGINA PADUA,207,,Penha,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.142,POINT (609953.08108394 7808675.72768495),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.258.Municipal.ESCOLA MUNICIPAL TANCREDO PHIDEAS GUIMARAES,258,ESCOLA MUNICIPAL TANCREDO PHIDEAS GUIMARAES,Municipal,RUA,SATURNO,400,,Parque São Pedro,VENDA NOVA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.143,POINT (612357.21307718 7802852.96449598),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.483.Municipal.ESCOLA MUNICIPAL FRANCISCO BRESSANE DE AZEVEDO,483,ESCOLA MUNICIPAL FRANCISCO BRESSANE DE AZEVEDO,Municipal,RUA,PADRE JOSE ALVES,109,,São Paulo,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.144,POINT (604947.61239894 7792344.22835286),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.236.Municipal.ESCOLA MUNICIPAL TENENTE MANOEL MAGALHAES PENIDO,236,ESCOLA MUNICIPAL TENENTE MANOEL MAGALHAES PENIDO,Municipal,RUA,AMUR,60,,Betânia,OESTE
