FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.63,POINT (611111.73661426 7796752.05384368),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI DELFIM MOREIRA,0,EMEI DELFIM MOREIRA,Umei,RUA,ESPIRITO SANTO,890,,Centro,CENTRO-SUL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.64,POINT (602584.5132844 7788570.54664336),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI DIAMANTE,0,EMEI DIAMANTE,Umei,RUA,AZARIAS DUARTE,180,,Diamante,BARREIRO
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.65,POINT (613632.07171257 7795276.21511689),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CAFEZAL,0,EMEI CAFEZAL,Umei,RUA,OLIEM BONFIM GUIMARAES,237,,Nossa Senhora da Conceição,CENTRO-SUL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.66,POINT (616365.58836069 7797202.60376267),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI ALTO VERA CRUZ,0,EMEI ALTO VERA CRUZ,Umei,RUA,FOSFORO,75,,Taquaril,LESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.67,POINT (611707.42929306 7806402.34114786),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI FLORAMAR,0,EMEI FLORAMAR,Umei,RUA,JOSE FERREIRA MAGALHAES,87,,Floramar,NORTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.68,POINT (617616.64739096 7803677.97019653),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI JARDIM VITÓRIA II,0,EMEI JARDIM VITÓRIA II,Umei,RUA,LOURDES GONCALVES BARBOSA,785,,Jardim Vitória,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.69,POINT (606475.2623024 7792533.73058107),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CINQUENTENÁRIO,0,EMEI CINQUENTENÁRIO,Umei,AVE,DOM JOAO VI,621,,Cinqüentenário,OESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.70,POINT (605625.82960994 7800227.50580173),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI MANACÁS,0,EMEI MANACÁS,Umei,RUA,FRANCISCA SANTOS ANASTASIA,860,,Paquetá,PAMPULHA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.71,POINT (609786.87044815 7802436.27745326),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SANTA ROSA,0,EMEI SANTA ROSA,Umei,RUA,CALDAS DA RAINHA,527,,São Francisco,PAMPULHA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.72,POINT (610430.23995657 7805941.77261173),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI PLANALTO,0,EMEI PLANALTO,Umei,RUA,LUIZ DE MELLO MATTOS,215,,Planalto,NORTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.73,POINT (602043.64912719 7789971.47903951),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI MALDONADO,0,EMEI MALDONADO,Umei,RUA,ALCINDO GONCALVES COTTA,109,,Diamante,BARREIRO
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.74,POINT (611016.73565338 7796244.66442139),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI TIMBIRAS,0,EMEI TIMBIRAS,Umei,RUA,DOS TIMBIRAS,1697,,Lourdes,CENTRO-SUL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.75,POINT (612243.49504022 7809785.55057366),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI ZILAH SPÓSITO,0,EMEI ZILAH SPÓSITO,Umei,RUA,COQUILHO,95,,Jaqueline,NORTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.76,POINT (616263.52216355 7806504.38024539),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI PROFESSORA ACIDÁLIA LOTT,0,EMEI PROFESSORA ACIDÁLIA LOTT,Umei,RUA,ANTONIO MARIANO DE ABREU,314,,Paulo VI,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.77,POINT (606769.24673162 7806804.65212185),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI ITAMARATI,0,EMEI ITAMARATI,Umei,RUA,DOS COMANCHES,245,,Santa Mônica,VENDA NOVA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.78,POINT (613971.96309233 7794757.96864873),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CAPIVARI,0,EMEI CAPIVARI,Umei,RUA,CAPIVARI,1026,,Marçola,CENTRO-SUL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.79,POINT (609559.75474316 7808131.10884404),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI VENDA NOVA,0,EMEI VENDA NOVA,Umei,RUA,DOUTOR ALVARO CAMARGOS,14,,São João Batista,VENDA NOVA
