FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_PARTICULARES.199,POINT (611402.47787338 7810386.11953964),ESCOLAS_PARTICULARES.2859.Particular.BOTO ROSA EDUCAÇÃO INFANTIL,2859,BOTO ROSA EDUCAÇÃO INFANTIL,Particular,RUA,ANA MARQUES DA SILVA,211,,Jaqueline,NORTE
ESCOLAS_PARTICULARES.200,POINT (611288.94908911 7810296.4377941),ESCOLAS_PARTICULARES.2361.Particular.ESC INF PINGO DE GENTE,2361,ESC INF PINGO DE GENTE,Particular,RUA,ANA MARQUES DA SILVA,27,,Jaqueline,NORTE
ESCOLAS_PARTICULARES.201,POINT (609330.40439778 7809159.8291475),ESCOLAS_PARTICULARES.2526.Particular.CEDEC - CENTRO DE EDUCACAO E DESENVOLVIMENTO DA CRIANCA,2526,CEDEC - CENTRO DE EDUCACAO E DESENVOLVIMENTO DA CRIANCA,Particular,RUA,JOSE ANSELMO NASCIMENTO,253,,Minascaixa,VENDA NOVA
ESCOLAS_PARTICULARES.202,POINT (612123.09869809 7796300.36665381),ESCOLAS_PARTICULARES.2595.Particular.NOSSA ESCOLA - SISTEMA DE EDUCACAO UNIDADE BABY,2595,NOSSA ESCOLA - SISTEMA DE EDUCACAO UNIDADE BABY,Particular,AVE,BERNARDO MONTEIRO,930,,Santa Efigênia,CENTRO-SUL
ESCOLAS_PARTICULARES.203,POINT (607730.28182046 7808556.501953),ESCOLAS_PARTICULARES.2684.Particular.COLEGIO FRANCISCANO CORACAO DE MARIA,2684,COLEGIO FRANCISCANO CORACAO DE MARIA,Particular,RUA,PASTOR RUI FRANCO,87,,São João Batista,VENDA NOVA
ESCOLAS_PARTICULARES.204,POINT (603266.18786473 7789864.60663411),ESCOLAS_PARTICULARES.2415.Particular.NUCLEO DE EDUCACAO TALITA MARCIA,2415,NUCLEO DE EDUCACAO TALITA MARCIA,Particular,RUA,JOSE FALEIRO,321,,Santa Helena,BARREIRO
ESCOLAS_PARTICULARES.205,POINT (602375.4387805 7791056.43404109),ESCOLAS_PARTICULARES.2370.Particular.COLEGIO METROPOLE,2370,COLEGIO METROPOLE,Particular,AVE,AFONSO VAZ DE MELO,640,,Barreiro,BARREIRO
ESCOLAS_PARTICULARES.206,POINT (607636.84415783 7792335.51970434),ESCOLAS_PARTICULARES.2678.Particular.INSTITUTO EDUCACIONAL CRESCER,2678,INSTITUTO EDUCACIONAL CRESCER,Particular,RUA,DEPUTADO SEBASTIAO NASCIMENTO,16,,Havaí,OESTE
ESCOLAS_PARTICULARES.207,POINT (611886.00593705 7797037.29665384),ESCOLAS_PARTICULARES.2524.Particular.CENTRO DE FORMACAO TECNOLOGICA DE MINAS GERAIS,2524,CENTRO DE FORMACAO TECNOLOGICA DE MINAS GERAIS,Particular,RUA,AQUILES LOBO,524,,Floresta,CENTRO-SUL
ESCOLAS_PARTICULARES.208,POINT (611954.4629364 7797030.1781028),ESCOLAS_PARTICULARES.2209.Particular.ESC PROT ODONT DR DAGOBERTO FERNANDES,2209,ESC PROT ODONT DR DAGOBERTO FERNANDES,Particular,RUA,AQUILES LOBO,457,,Floresta,CENTRO-SUL
